ville,slug,dept,dept_num,region,habitants_approx,contexte_local
Marseille,marseille,Bouches-du-Rhône,13,Provence-Alpes-Côte d'Azur,plus de 860 000,"Marseille est une ville aux reliefs marqués. De la Canebière aux collines de l'Estaque, du Panier au Roucas-Blanc, les maisons à plusieurs niveaux sont omniprésentes. Le bâti ancien, souvent en pierre calcaire, abrite des escaliers raides et étroits qui compliquent le quotidien des seniors souhaitant rester à domicile."
Toulouse,toulouse,Haute-Garonne,31,Occitanie,plus de 490 000,"La Ville Rose concentre un parc immobilier ancien très dense, notamment dans les quartiers des Carmes, Saint-Aubin et Saint-Cyprien, où les maisons de ville à deux ou trois niveaux avec des escaliers intérieurs raides sont la norme. Avec une population vieillissante croissante, la demande d'équipements d'accessibilité comme le monte-escalier y est en forte augmentation."
Nice,nice,Alpes-Maritimes,06,Provence-Alpes-Côte d'Azur,plus de 340 000,"Nice s'étend entre mer et collines et ses quartiers anciens, Vieux-Nice, Cimiez et la Buffa, regorgent d'immeubles haussmanniens et de villas belle époque aux escaliers souvent étroits et pentus. La forte concentration de retraités sur la Côte d'Azur en fait l'une des villes où la demande de monte-escaliers est parmi les plus élevées de France."
Nantes,nantes,Loire-Atlantique,44,Pays de la Loire,plus de 320 000,"Nantes possède un riche patrimoine architectural avec ses maisons de négociants, ses immeubles du XIXe siècle et ses hôtels particuliers dans les quartiers Graslin et Bouffay, dont les escaliers intérieurs sont souvent très raides. Le vieillissement de la population nantaise et la volonté de maintien à domicile font du monte-escalier un équipement de plus en plus demandé."
Strasbourg,strasbourg,Bas-Rhin,67,Grand Est,plus de 285 000,"Strasbourg se distingue par son architecture alsacienne caractéristique, avec ses maisons à colombages, ses immeubles wilhelmiens et ses bâtisses du quartier allemand, dont les escaliers intérieurs sont souvent raides et mal adaptés aux personnes à mobilité réduite. La forte proportion de logements anciens dans la Neustadt et la Petite France en fait une ville particulièrement concernée par les problématiques d'accessibilité."
Bordeaux,bordeaux,Gironde,33,Nouvelle-Aquitaine,plus de 260 000,"Bordeaux, inscrite au patrimoine mondial de l'UNESCO, est une ville de pierres dorées aux nombreux hôtels particuliers et immeubles du XVIIIe et XIXe siècles dans les quartiers Saint-Pierre, Chartrons et Saint-Michel. Ces bâtiments anciens, aux escaliers souvent très raides et étroits, sont au cœur des demandes d'adaptation pour les seniors bordelais souhaitant rester chez eux."
Lille,lille,Nord,59,Hauts-de-France,plus de 235 000,"Lille et sa métropole se caractérisent par un habitat typiquement nordiste, avec ses maisons en briques à deux ou trois niveaux, ses courées et ses immeubles ouvriers, dont les escaliers intérieurs souvent raides et peu larges rendent la montée difficile avec l'âge. Le renouveau du Vieux-Lille et de Wazemmes a préservé ce bâti ancien qui concentre aujourd'hui une forte demande en équipements d'accessibilité."
Montpellier,montpellier,Hérault,34,Occitanie,plus de 290 000,"Montpellier abrite un centre historique dense, l'Écusson, avec ses ruelles médiévales bordées de maisons à plusieurs niveaux et des escaliers intérieurs caractéristiques, souvent très pentus. La ville attire de nombreux retraités du nord de la France et du reste de l'Europe, ce qui en fait l'un des marchés les plus dynamiques pour l'adaptation du logement senior en Occitanie."
Rennes,rennes,Ille-et-Vilaine,35,Bretagne,plus de 220 000,"Rennes possède l'un des centres historiques les mieux préservés de France, avec ses maisons à colombages et ses immeubles en granit du XVIIe et XVIIIe siècle dans les quartiers du Thabor et Sainte-Anne, dont les escaliers intérieurs sont souvent très raides. La Bretagne concentre une population senior importante soucieuse de rester à domicile, faisant de Rennes un marché clé pour les monte-escaliers."
Grenoble,grenoble,Isère,38,Auvergne-Rhône-Alpes,plus de 160 000,"Grenoble, entourée par les massifs des Belledonne, Chartreuse et Vercors, est une ville alpine où les maisons à plusieurs niveaux sont très répandues, notamment dans les quartiers anciens de l'Hyper-Centre, Championnet et Très-Cloîtres. Les escaliers intérieurs y sont souvent étroits et pentus, et la forte population de seniors souhaitant rester dans leurs maisons en fait un marché prioritaire pour les équipements d'accessibilité."
